,title,link,address,price,to_last_month,completion_date
0,碧桐园,https://beijing.anjuke.com/community/view/124245,［海淀区-四季青］田村路,62209,↑0.45%,竣工日期：2008
1,棕榈泉国际公寓,https://beijing.anjuke.com/community/props/sale/124245/,［朝阳区-朝阳公园］公园南路8号,100491,↑0.38%,竣工日期：2004
2,泰禾北京院子,https://beijing.anjuke.com/map/sale/#l1=39.9303929811&l2=116.224009937&l3=18&flag=1&commname=碧桐园&commid=124245,［朝阳区-孙河］顺黄路47号,87114,↓2.04%,竣工日期：2015
3,紫玉山庄,https://beijing.anjuke.com/community/round/124245,［朝阳区-亚运村］紫玉东路1号,140884,↑1.98%,竣工日期：2003
4,天通苑北一区,https://beijing.anjuke.com/community/trends/124245,［昌平区-天通苑］太平庄中二街,41042,↑1.04%,竣工日期：1993
5,阳光上东,https://beijing.anjuke.com/community/photos2/b/124245,［朝阳区-酒仙桥］东四环北路6号,90684,↑1.23%,竣工日期：2004
6,北京玫瑰园,https://beijing.anjuke.com/community/view/124245/jiedu/,［昌平区-沙河］高教园中街,59529,↓5.16%,竣工日期：1995
7,温哥华森林,https://beijing.anjuke.com/community/view/51241,［昌平区-北七家］立汤路,47608,↑3.30%,竣工日期：2010
8,东山墅,https://beijing.anjuke.com/community/props/sale/51241/,［朝阳区-朝阳公园］东四环北路7号,160952,↓0.28%,竣工日期：2000
9,观承别墅,https://beijing.anjuke.com/map/sale/#l1=39.9323486804&l2=116.4803534496&l3=18&flag=1&commname=棕榈泉国际公寓&commid=51241,［顺义区-中央别墅区］高白路,57051,↓2.19%,竣工日期：2015
10,格拉斯小镇,https://beijing.anjuke.com/community/round/51241,［通州区-通州周边］滨河路,75601,↑7.45%,竣工日期：2015
11,水墨林溪,https://beijing.anjuke.com/community/trends/51241,［房山区-窦店］大窦路,21280,↑0.34%,竣工日期：2006
12,财富公馆,https://beijing.anjuke.com/community/photos2/b/51241,［朝阳区-来广营］康营中街9号,59174,↓0.43%,竣工日期：2012
13,首开缇香郡,https://beijing.anjuke.com/community/view/51241/jiedu/,［通州区-台湖镇］通房路,28701,↓1.21%,竣工日期：2016
